time,dac
0.100141622,2.510
0.100141722,2.489
0.100141822,2.468
0.100141922,2.463
0.100142022,2.432
0.100142122,2.406
0.100142222,2.386
0.100142322,2.365
0.100142422,2.339
0.100142522,2.319
0.100142622,2.298
0.100142722,2.277
0.100142822,2.257
0.100142922,2.231
0.100143022,2.210
0.100143122,2.184
0.100143222,2.164
0.100143322,2.138
0.100143422,2.112
0.100143522,2.091
0.100143622,2.071
0.100143722,2.060
0.100143822,2.029
0.100143922,2.004
0.100144022,1.978
0.100144122,1.957
0.100144222,1.926
0.100144322,1.906
0.100144422,1.880
0.100144522,1.859
0.100144622,1.833
0.100144722,1.813
0.100144822,1.787
0.100144922,1.766
0.100145022,1.735
0.100145122,1.714
0.100145222,1.689
0.100145322,1.663
0.100145422,1.637
0.100145522,1.637
0.100145622,1.621
0.100145722,1.596
0.100145822,1.575
0.100145922,1.549
0.100146022,1.528
0.100146122,1.503
0.100146222,1.482
0.100146322,1.456
0.100146422,1.430
0.100146522,1.405
0.100146622,1.384
0.100146722,1.358
0.100146822,1.332
0.100146922,1.306
0.100147022,1.281
0.100147122,1.260
0.100147222,1.255
0.100147322,1.224
0.100147422,1.193
0.100147522,1.172
0.100147622,1.146
0.100147722,1.126
0.100147822,1.100
0.100147922,1.079
0.100148022,1.053
0.100148122,1.033
0.100148222,1.012
0.100148322,0.986
0.100148422,0.966
0.100148522,0.945
0.100148622,0.924
0.100148722,0.898
0.100148822,0.878
0.100148922,0.857
0.100149022,0.847
0.100149122,0.826
0.100149222,0.800
0.100149322,0.780
0.100149422,0.754
0.100149522,0.738
0.100149622,0.718
0.100149722,0.692
0.100149822,0.676
0.100149922,0.656
0.100150022,0.640
0.100150122,0.609
0.100150222,0.594
0.100150322,0.578
0.100150422,0.563
0.100150522,0.542
0.100150622,0.521
0.100150722,0.506
0.100150822,0.490
0.100150922,0.470
0.100151022,0.454
0.100151122,0.439
0.100151222,0.423
0.100151322,0.418
0.100151422,0.397
0.100151522,0.377
0.100151622,0.361
0.100151722,0.346
0.100151822,0.325
0.100151922,0.315
0.100152022,0.299
0.100152122,0.289
0.100152222,0.273
0.100152322,0.258
0.100152422,0.248
0.100152522,0.232
0.100152622,0.222
0.100152722,0.206
0.100152822,0.196
0.100152922,0.186
0.100153022,0.170
0.100153122,0.165
0.100153222,0.150
0.100153322,0.139
0.100153422,0.129
0.100153522,0.124
0.100153622,0.113
0.100153722,0.108
0.100153822,0.098
0.100153922,0.088
0.100154022,0.077
0.100154122,0.072
0.100154222,0.062
0.100154322,0.057
0.100154422,0.051
0.100154522,0.041
0.100154622,0.036
0.100154722,0.026
0.100154822,0.026
0.100154922,0.026
0.100155022,0.020
0.100155122,0.010
0.100155222,0.010
0.100155322,0.010
0.100155422,-0.000
0.100155522,-0.000
0.100155622,-0.005
0.100155722,-0.005
0.100155822,-0.005
0.100155922,-0.005
0.100156022,-0.011
0.100156122,-0.011
0.100156222,-0.011
0.100156322,-0.011
0.100156422,-0.011
0.100156522,-0.011
0.100156622,-0.005
0.100156722,-0.000
0.100156822,-0.005
0.100156922,-0.000
0.100157022,0.005
0.100157122,0.005
0.100157222,0.010
0.100157322,0.015
0.100157422,0.020
0.100157522,0.020
0.100157622,0.026
0.100157722,0.031
0.100157822,0.036
0.100157922,0.046
0.100158022,0.051
0.100158122,0.057
0.100158222,0.067
0.100158322,0.072
0.100158422,0.077
0.100158522,0.088
0.100158622,0.098
0.100158722,0.103
0.100158822,0.119
0.100158922,0.124
0.100159022,0.134
0.100159122,0.139
0.100159222,0.155
0.100159322,0.170
0.100159422,0.175
0.100159522,0.191
0.100159622,0.196
0.100159722,0.206
0.100159822,0.227
0.100159922,0.232
0.100160022,0.248
0.100160122,0.263
0.100160222,0.273
0.100160322,0.289
0.100160422,0.304
0.100160522,0.320
0.100160622,0.330
0.100160722,0.351
0.100160822,0.366
0.100160922,0.372
0.100161022,0.387
0.100161122,0.408
0.100161222,0.423
0.100161322,0.444
0.100161422,0.459
0.100161522,0.475
0.100161622,0.496
0.100161722,0.511
0.100161822,0.532
0.100161922,0.552
0.100162022,0.568
0.100162122,0.583
0.100162222,0.599
0.100162322,0.620
0.100162422,0.640
0.100162522,0.661
0.100162622,0.681
0.100162722,0.702
0.100162822,0.718
0.100162922,0.743
0.100163022,0.764
0.100163122,0.780
0.100163222,0.790
0.100163322,0.816
0.100163422,0.842
0.100163522,0.862
0.100163622,0.883
0.100163722,0.909
0.100163822,0.929
0.100163922,0.950
0.100164022,0.971
0.100164122,0.997
0.100164222,1.017
0.100164322,1.038
0.100164422,1.064
0.100164522,1.084
0.100164622,1.105
0.100164722,1.131
0.100164822,1.151
0.100164922,1.172
0.100165022,1.188
0.100165122,1.213
0.100165222,1.244
0.100165322,1.265
0.100165422,1.291
0.100165522,1.317
0.100165622,1.337
0.100165722,1.363
0.100165822,1.389
0.100165922,1.415
0.100166022,1.436
0.100166122,1.461
0.100166222,1.482
0.100166322,1.508
0.100166422,1.534
0.100166522,1.554
0.100166622,1.580
0.100166722,1.611
0.100166822,1.616
0.100166922,1.632
0.100167022,1.652
0.100167122,1.673
0.100167222,1.699
0.100167322,1.714
0.100167422,1.740
0.100167522,1.771
0.100167622,1.797
0.100167722,1.818
0.100167822,1.844
0.100167922,1.869
0.100168022,1.890
0.100168122,1.916
0.100168222,1.936
0.100168322,1.957
0.100168422,1.988
0.100168522,1.998
0.100168622,2.024
0.100168722,2.050
0.100168822,2.076
0.100168922,2.097
0.100169022,2.122
0.100169122,2.148
0.100169222,2.169
0.100169322,2.195
0.100169422,2.215
0.100169522,2.236
0.100169622,2.257
0.100169722,2.283
0.100169822,2.303
0.100169922,2.324
0.100170022,2.344
0.100170122,2.370
0.100170222,2.391
0.100170322,2.412
0.100170422,2.427
0.100170522,2.448
0.100170622,2.474
0.100170722,2.489
0.100170822,2.515
0.100170922,2.536
0.100171022,2.551
0.100171122,2.572
0.100171222,2.592
0.100171322,2.608
0.100171422,2.629
0.100171522,2.649
0.100171622,2.670
0.100171722,2.685
0.100171822,2.706
0.100171922,2.722
0.100172022,2.742
0.100172122,2.763
0.100172222,2.778
0.100172322,2.794
0.100172422,2.809
0.100172522,2.830
0.100172622,2.835
0.100172722,2.856
0.100172822,2.876
0.100172922,2.892
0.100173022,2.902
0.100173122,2.923
0.100173222,2.933
0.100173322,2.949
0.100173422,2.964
0.100173522,2.975
0.100173622,2.990
0.100173722,3.006
0.100173822,3.016
0.100173922,3.031
0.100174022,3.042
0.100174122,3.052
0.100174222,3.068
0.100174322,3.078
0.100174422,3.088
0.100174522,3.099
0.100174622,3.109
0.100174722,3.119
0.100174822,3.130
0.100174922,3.140
0.100175022,3.145
0.100175122,3.160
0.100175222,3.166
0.100175322,3.171
0.100175422,3.181
0.100175522,3.186
0.100175622,3.197
0.100175722,3.202
0.100175822,3.207
0.100175922,3.217
0.100176022,3.217
0.100176122,3.228
0.100176222,3.233
0.100176322,3.233
0.100176422,3.243
0.100176522,3.243
0.100176622,3.248
0.100176722,3.253
0.100176822,3.253
0.100176922,3.259
0.100177022,3.259
0.100177122,3.259
0.100177222,3.264
0.100177322,3.264
0.100177422,3.264
0.100177522,3.264
0.100177622,3.264
0.100177722,3.264
0.100177822,3.264
0.100177922,3.264
0.100178022,3.264
0.100178122,3.259
0.100178222,3.259
0.100178322,3.253
0.100178422,3.253
0.100178522,3.248
0.100178622,3.238
0.100178722,3.238
0.100178822,3.233
0.100178922,3.228
0.100179022,3.222
0.100179122,3.217
0.100179222,3.212
0.100179322,3.207
0.100179422,3.202
0.100179522,3.191
0.100179622,3.181
0.100179722,3.176
0.100179822,3.171
0.100179922,3.160
0.100180022,3.150
0.100180122,3.145
0.100180222,3.135
0.100180322,3.124
0.100180422,3.114
0.100180522,3.099
0.100180622,3.093
0.100180722,3.083
0.100180822,3.073
0.100180922,3.057
0.100181022,3.047
0.100181122,3.037
0.100181222,3.026
0.100181322,3.011
0.100181422,2.995
0.100181522,2.985
0.100181622,2.969
0.100181722,2.954
0.100181822,2.944
0.100181922,2.928
0.100182022,2.907
0.100182122,2.897
0.100182222,2.882
0.100182322,2.882
0.100182422,2.856
0.100182522,2.835
0.100182622,2.820
0.100182722,2.804
0.100182822,2.783
0.100182922,2.768
0.100183022,2.747
0.100183122,2.732
0.100183222,2.711
0.100183322,2.696
0.100183422,2.680
0.100183522,2.660
0.100183622,2.639
0.100183722,2.618
0.100183822,2.598
0.100183922,2.577
0.100184022,2.561
0.100184122,2.541
0.100184222,2.520
0.100184322,2.499
0.100184422,2.479
0.100184522,2.468
0.100184622,2.453
0.100184722,2.422
0.100184822,2.401
0.100184922,2.375
0.100185022,2.360
0.100185122,2.334
0.100185222,2.314
0.100185322,2.288
0.100185422,2.267
0.100185522,2.246
0.100185622,2.226
0.100185722,2.200
0.100185822,2.174
0.100185922,2.148
0.100186022,2.133
0.100186122,2.112
0.100186222,2.081
0.100186322,2.066
0.100186422,2.050
0.100186522,2.019
0.100186622,1.998
0.100186722,1.967
0.100186822,1.947
0.100186922,1.921
0.100187022,1.895
0.100187122,1.869
0.100187222,1.849
0.100187322,1.823
0.100187422,1.802
0.100187522,1.776
0.100187622,1.751
0.100187722,1.725
0.100187822,1.699
0.100187922,1.678
0.100188022,1.658
0.100188122,1.632
0.100188222,1.642
0.100188322,1.616
0.100188422,1.590
0.100188522,1.565
0.100188622,1.544
0.100188722,1.518
0.100188822,1.492
0.100188922,1.472
0.100189022,1.446
0.100189122,1.425
0.100189222,1.399
0.100189322,1.374
0.100189422,1.353
0.100189522,1.327
0.100189622,1.301
0.100189722,1.275
0.100189822,1.255
0.100189922,1.239
0.100190022,1.213
0.100190122,1.188
0.100190222,1.162
0.100190322,1.136
0.100190422,1.115
0.100190522,1.089
0.100190622,1.069
0.100190722,1.043
0.100190822,1.022
0.100190922,1.002
0.100191022,0.976
0.100191122,0.955
0.100191222,0.935
0.100191322,0.914
0.100191422,0.893
0.100191522,0.867
0.100191622,0.847
0.100191722,0.847
0.100191822,0.816
0.100191922,0.790
0.100192022,0.769
0.100192122,0.749
0.100192222,0.728
0.100192322,0.707
0.100192422,0.687
0.100192522,0.666
0.100192622,0.645
0.100192722,0.630
0.100192822,0.609
0.100192922,0.589
0.100193022,0.568
0.100193122,0.552
0.100193222,0.532
0.100193322,0.516
0.100193422,0.501
0.100193522,0.480
0.100193622,0.465
0.100193722,0.449
0.100193822,0.434
0.100193922,0.423
0.100194022,0.408
0.100194122,0.392
0.100194222,0.372
0.100194322,0.351
0.100194422,0.335
0.100194522,0.320
0.100194622,0.310
0.100194722,0.294
0.100194822,0.279
0.100194922,0.263
0.100195022,0.253
0.100195122,0.237
0.100195222,0.227
0.100195322,0.212
0.100195422,0.201
0.100195522,0.191
0.100195622,0.181
0.100195722,0.170
0.100195822,0.155
0.100195922,0.150
0.100196022,0.139
0.100196122,0.129
0.100196222,0.119
0.100196322,0.108
0.100196422,0.103
0.100196522,0.093
0.100196622,0.082
0.100196722,0.077
0.100196822,0.067
0.100196922,0.062
0.100197022,0.051
0.100197122,0.046
0.100197222,0.041
0.100197322,0.036
0.100197422,0.031
0.100197522,0.020
0.100197622,0.015
0.100197722,0.015
0.100197822,0.010
0.100197922,0.010
0.100198022,0.005
0.100198122,-0.000
0.100198222,-0.000
0.100198322,-0.005
0.100198422,-0.005
0.100198522,-0.005
0.100198622,-0.011
0.100198722,-0.011
0.100198822,-0.011
0.100198922,-0.011
0.100199022,-0.011
0.100199122,-0.005
0.100199222,-0.005
0.100199322,-0.005
0.100199422,-0.005
0.100199522,-0.005
0.100199622,0.005
0.100199722,0.005
0.100199822,0.005
0.100199922,0.010
0.100200022,0.015
0.100200122,0.020
0.100200222,0.026
0.100200322,0.026
0.100200422,0.031
0.100200522,0.041
0.100200622,0.046
0.100200722,0.051
0.100200822,0.062
0.100200922,0.067
0.100201022,0.077
0.100201122,0.082
0.100201222,0.093
0.100201322,0.098
0.100201422,0.113
0.100201522,0.119
0.100201622,0.129
0.100201722,0.139
0.100201822,0.150
0.100201922,0.160
0.100202022,0.170
0.100202122,0.181
0.100202222,0.191
0.100202322,0.201
0.100202422,0.212
0.100202522,0.227
0.100202622,0.237
0.100202722,0.253
0.100202822,0.263
0.100202922,0.284
0.100203022,0.294
0.100203122,0.310
0.100203222,0.325
0.100203322,0.341
0.100203422,0.351
0.100203522,0.366
0.100203622,0.372
0.100203722,0.392
0.100203822,0.413
0.100203922,0.428
0.100204022,0.444
0.100204122,0.465
0.100204222,0.480
0.100204322,0.496
0.100204422,0.516
0.100204522,0.537
0.100204622,0.552
0.100204722,0.573
0.100204822,0.589
0.100204922,0.609
0.100205022,0.625
0.100205122,0.651
0.100205222,0.666
0.100205322,0.687
0.100205422,0.702
0.100205522,0.728
0.100205622,0.749
0.100205722,0.764
0.100205822,0.785
0.100205922,0.800
0.100206022,0.826
0.100206122,0.847
0.100206222,0.867
0.100206322,0.888
0.100206422,0.914
0.100206522,0.929
0.100206622,0.955
0.100206722,0.976
0.100206822,1.002
0.100206922,1.022
0.100207022,1.043
0.100207122,1.069
0.100207222,1.089
0.100207322,1.110
0.100207422,1.136
0.100207522,1.157
0.100207622,1.182
0.100207722,1.193
0.100207822,1.224
0.100207922,1.250
0.100208022,1.270
0.100208122,1.301
0.100208222,1.322
0.100208322,1.343
0.100208422,1.368
0.100208522,1.394
0.100208622,1.420
0.100208722,1.446
0.100208822,1.467
0.100208922,1.492
0.100209022,1.518
0.100209122,1.539
0.100209222,1.565
0.100209322,1.590
0.100209422,1.616
0.100209522,1.621
0.100209622,1.637
0.100209722,1.658
0.100209822,1.678
0.100209922,1.704
0.100210022,1.725
0.100210122,1.751
0.100210222,1.771
0.100210322,1.797
0.100210422,1.828
0.100210522,1.849
0.100210622,1.869
0.100210722,1.895
0.100210822,1.916
0.100210922,1.942
0.100211022,1.967
0.100211122,1.993
0.100211222,1.998
0.100211322,2.029
0.100211422,2.060
0.100211522,2.086
0.100211622,2.102
0.100211722,2.128
0.100211822,2.148
0.100211922,2.174
0.100212022,2.200
0.100212122,2.221
0.100212222,2.241
0.100212322,2.267
0.100212422,2.293
0.100212522,2.314
0.100212622,2.334
0.100212722,2.355
0.100212822,2.375
0.100212922,2.401
0.100213022,2.412
0.100213122,2.432
0.100213222,2.458
0.100213322,2.474
0.100213422,2.494
0.100213522,2.515
0.100213622,2.541
0.100213722,2.561
0.100213822,2.577
0.100213922,2.598
0.100214022,2.618
0.100214122,2.639
0.100214222,2.654
0.100214322,2.670
0.100214422,2.691
0.100214522,2.706
0.100214622,2.732
0.100214722,2.747
0.100214822,2.763
0.100214922,2.783
0.100215022,2.799
0.100215122,2.820
0.100215222,2.830
0.100215322,2.840
0.100215422,2.856
0.100215522,2.882
0.100215622,2.892
0.100215722,2.913
0.100215822,2.923
0.100215922,2.938
0.100216022,2.954
0.100216122,2.969
0.100216222,2.980
0.100216322,2.995
0.100216422,3.006
0.100216522,3.021
0.100216622,3.031
0.100216722,3.047
0.100216822,3.057
0.100216922,3.068
0.100217022,3.083
0.100217122,3.088
0.100217222,3.104
0.100217322,3.114
0.100217422,3.124
0.100217522,3.135
0.100217622,3.145
0.100217722,3.155
0.100217822,3.160
0.100217922,3.166
0.100218022,3.176
0.100218122,3.181
0.100218222,3.191
0.100218322,3.197
0.100218422,3.202
0.100218522,3.212
0.100218622,3.217
0.100218722,3.222
0.100218822,3.228
0.100218922,3.233
0.100219022,3.238
0.100219122,3.238
0.100219222,3.243
0.100219322,3.248
0.100219422,3.248
0.100219522,3.253
0.100219622,3.259
0.100219722,3.264
0.100219822,3.259
0.100219922,3.264
0.100220022,3.264
0.100220122,3.264
0.100220222,3.264
0.100220322,3.264
0.100220422,3.264
0.100220522,3.264
0.100220622,3.264
0.100220722,3.259
0.100220822,3.253
0.100220922,3.253
0.100221022,3.248
0.100221122,3.248
0.100221222,3.243
0.100221322,3.238
0.100221422,3.238
0.100221522,3.233
0.100221622,3.222
0.100221722,3.222
0.100221822,3.212
0.100221922,3.212
0.100222022,3.202
0.100222122,3.197
0.100222222,3.186
0.100222322,3.181
0.100222422,3.171
0.100222522,3.166
0.100222622,3.155
0.100222722,3.145
0.100222822,3.140
0.100222922,3.130
0.100223022,3.124
0.100223122,3.109
0.100223222,3.099
0.100223322,3.088
0.100223422,3.078
0.100223522,3.062
0.100223622,3.057
0.100223722,3.042
0.100223822,3.031
0.100223922,3.016
0.100224022,3.006
0.100224122,2.995
0.100224222,2.975
0.100224322,2.959
0.100224422,2.949
0.100224522,2.933
0.100224622,2.923
0.100224722,2.902
0.100224822,2.887
0.100224922,2.882
0.100225022,2.871
0.100225122,2.845
0.100225222,2.830
0.100225322,2.814
0.100225422,2.799
0.100225522,2.778
0.100225622,2.758
0.100225722,2.742
0.100225822,2.727
0.100225922,2.706
0.100226022,2.691
0.100226122,2.670
0.100226222,2.649
0.100226322,2.634
0.100226422,2.613
0.100226522,2.587
0.100226622,2.572
0.100226722,2.551
0.100226822,2.530
0.100226922,2.510
0.100227022,2.489
0.100227122,2.474
0.100227222,2.474
0.100227322,2.437
0.100227422,2.417
0.100227522,2.391
0.100227622,2.370
0.100227722,2.350
0.100227822,2.329
0.100227922,2.308
0.100228022,2.283
0.100228122,2.262
0.100228222,2.236
0.100228322,2.215
0.100228422,2.195
0.100228522,2.169
0.100228622,2.148
0.100228722,2.122
0.100228822,2.097
0.100228922,2.081
0.100229022,2.066
0.100229122,2.045
0.100229222,2.014
0.100229322,1.988
0.100229422,1.962
0.100229522,1.942
0.100229622,1.916
0.100229722,1.890
0.100229822,1.869
0.100229922,1.844
0.100230022,1.818
0.100230122,1.797
0.100230222,1.771
0.100230322,1.745
0.100230422,1.725
0.100230522,1.694
0.100230622,1.673
0.100230722,1.647
0.100230822,1.637
0.100230922,1.637
0.100231022,1.611
0.100231122,1.585
0.100231222,1.565
0.100231322,1.534
0.100231422,1.513
0.100231522,1.487
0.100231622,1.461
0.100231722,1.441
0.100231822,1.410
0.100231922,1.389
0.100232022,1.368
0.100232122,1.343
0.100232222,1.322
0.100232322,1.291
0.100232422,1.265
0.100232522,1.255
0.100232622,1.234
0.100232722,1.203
0.100232822,1.177
0.100232922,1.157
0.100233022,1.131
0.100233122,1.110
0.100233222,1.084
0.100233322,1.059
0.100233422,1.038
0.100233522,1.017
0.100233622,0.997
0.100233722,0.971
0.100233822,0.950
0.100233922,0.929
0.100234022,0.909
0.100234122,0.883
0.100234222,0.857
0.100234322,0.842
0.100234422,0.842
0.100234522,0.811
0.100234622,0.790
0.100234722,0.764
0.100234822,0.738
0.100234922,0.723
0.100235022,0.702
0.100235122,0.681
0.100235222,0.666
0.100235322,0.645
0.100235422,0.620
0.100235522,0.604
0.100235622,0.583
0.100235722,0.568
0.100235822,0.547
0.100235922,0.532
0.100236022,0.511
0.100236122,0.496
0.100236222,0.480
0.100236322,0.459
0.100236422,0.444
0.100236522,0.428
0.100236622,0.428
0.100236722,0.403
0.100236822,0.382
0.100236922,0.366
0.100237022,0.351
0.100237122,0.335
0.100237222,0.320
0.100237322,0.304
0.100237422,0.294
0.100237522,0.273
0.100237622,0.263
0.100237722,0.248
0.100237822,0.237
0.100237922,0.227
0.100238022,0.212
0.100238122,0.201
0.100238222,0.186
0.100238322,0.175
0.100238422,0.170
0.100238522,0.150
0.100238622,0.144
0.100238722,0.129
0.100238822,0.124
0.100238922,0.113
0.100239022,0.108
0.100239122,0.098
0.100239222,0.088
0.100239322,0.088
0.100239422,0.072
0.100239522,0.062
0.100239622,0.057
0.100239722,0.051
0.100239822,0.046
0.100239922,0.036
0.100240022,0.036
0.100240122,0.026
0.100240222,0.026
0.100240322,0.020
0.100240422,0.015
0.100240522,0.010
0.100240622,0.005
0.100240722,-0.000
0.100240822,-0.000
0.100240922,-0.000
0.100241022,-0.011
0.100241122,-0.005
0.100241222,-0.011
0.100241322,-0.011
0.100241422,-0.011
0.100241522,-0.011
0.100241622,-0.011
0.100241722,-0.011
0.100241822,-0.011
0.100241922,-0.011
0.100242022,-0.005
0.100242122,-0.000
0.100242222,-0.000
0.100242322,0.005
0.100242422,0.005
0.100242522,0.010
0.100242622,0.015
0.100242722,0.015
0.100242822,0.020
0.100242922,0.026
0.100243022,0.031
0.100243122,0.041
0.100243222,0.041
0.100243322,0.046
0.100243422,0.057
0.100243522,0.062
0.100243622,0.072
0.100243722,0.077
0.100243822,0.082
0.100243922,0.093
0.100244022,0.103
0.100244122,0.113
0.100244222,0.124
0.100244322,0.129
0.100244422,0.144
0.100244522,0.150
0.100244622,0.160
0.100244722,0.170
0.100244822,0.186
0.100244922,0.191
0.100245022,0.206
0.100245122,0.222
0.100245222,0.232
0.100245322,0.243
0.100245422,0.258
0.100245522,0.268
0.100245622,0.284
0.100245722,0.299
0.100245822,0.310
0.100245922,0.330
0.100246022,0.341
0.100246122,0.356
0.100246222,0.372
0.100246322,0.372
0.100246422,0.397
0.100246522,0.413
0.100246622,0.434
0.100246722,0.454
0.100246822,0.475
0.100246922,0.485
0.100247022,0.501
0.100247122,0.521
0.100247222,0.542
0.100247322,0.558
0.100247422,0.578
0.100247522,0.594
0.100247622,0.614
0.100247722,0.635
0.100247822,0.656
0.100247922,0.671
0.100248022,0.692
0.100248122,0.718
0.100248222,0.733
0.100248322,0.754
0.100248422,0.774
0.100248522,0.790
0.100248622,0.811
0.100248722,0.831
0.100248822,0.852
0.100248922,0.878
0.100249022,0.898
0.100249122,0.919
0.100249222,0.940
0.100249322,0.960
0.100249422,0.986
0.100249522,1.012
0.100249622,1.028
0.100249722,1.053
0.100249822,1.074
0.100249922,1.100
0.100250022,1.120
0.100250122,1.141
0.100250222,1.172
0.100250322,1.188
0.100250422,1.203
0.100250522,1.229
0.100250622,1.255
0.100250722,1.281
0.100250822,1.306
0.100250922,1.332
0.100251022,1.353
0.100251122,1.379
0.100251222,1.405
0.100251322,1.425
0.100251422,1.451
0.100251522,1.477
0.100251622,1.503
0.100251722,1.523
0.100251822,1.544
0.100251922,1.575
0.100252022,1.606
0.100252122,1.616
0.100252222,1.627
0.100252322,1.642
0.100252422,1.663
0.100252522,1.689
0.100252622,1.709
0.100252722,1.735
0.100252822,1.756
0.100252922,1.787
0.100253022,1.807
0.100253122,1.833
0.100253222,1.859
0.100253322,1.885
0.100253422,1.906
0.100253522,1.926
0.100253622,1.952
0.100253722,1.978
0.100253822,1.993
0.100253922,2.014
0.100254022,2.040
0.100254122,2.066
0.100254222,2.097
0.100254322,2.117
0.100254422,2.143
0.100254522,2.164
0.100254622,2.184
0.100254722,2.210
0.100254822,2.231
0.100254922,2.252
0.100255022,2.277
0.100255122,2.298
0.100255222,2.319
0.100255322,2.339
0.100255422,2.360
0.100255522,2.381
0.100255622,2.406
0.100255722,2.422
0.100255822,2.437
0.100255922,2.463
0.100256022,2.484
0.100256122,2.499
0.100256222,2.525
0.100256322,2.546
0.100256422,2.567
0.100256522,2.587
0.100256622,2.608
0.100256722,2.629
0.100256822,2.644
0.100256922,2.665
0.100257022,2.680
0.100257122,2.696
